id,word,root,part_of_speech,meaning,link
3682,לְהִתְאַבֵּק,א - ב - ק,Verb – hitpa'el,to become dusty,/dict/3682-lehitabek/
3683,מְאוּבָּק,א - ב - ק,Adjective – mekuttal pattern,dusty,/dict/3683-meubak/
3046,לְאַבֵּק,א - ב - ק,Verb – pi'el,"to powder, to grind to dust",/dict/3046-leabek/
5722,לְהַאֲבִיק,א - ב - ק,Verb – hif'il,to pollinate,/dict/5722-lehaavik/
5585,אַבִּיר,א - ב - ר,"Noun – kattil pattern, masculine",knight; nobleman,/dict/5585-abir/
7997,אֶבְרָה,א - ב - ר,"Noun – kitla pattern, feminine","pinion, wing (lit.)",/dict/7997-evra/
7628,אַגַּב,-,Adverb,"by the way, incidentally; while, during",/dict/7628-agav/
4739,אִיגּוּד,א - ג - ד,"Noun – kittul pattern, masculine","union, organisation",/dict/4739-igud/
4182,הִתְאַגְּדוּת,א - ג - ד,"Noun – hitkattlut pattern, feminine","union, corporation",/dict/4182-hitagdut/
4172,לֶאֱגוֹד,א - ג - ד,Verb – pa'al,"to bind together, to tie up (lit.); to unite",/dict/4172-leegod/
4181,אוּגְדָּה,א - ג - ד,"Noun – kutla pattern, feminine",division (army),/dict/4181-ugda/
4179,אֲגוּדָּה,א - ג - ד,"Noun – ktulla pattern, feminine","union, association",/dict/4179-aguda/
4175,לְהִתְאַגֵּד,א - ג - ד,Verb – hitpa'el,"to unite, to form a union",/dict/4175-lehitaged/
4176,אֶגֶד,א - ג - ד,"Noun – ketel pattern, masculine","bundle, bunch (lit.); bandage",/dict/4176-eged/
4180,אֲגִידָה,א - ג - ד,"Noun – ktila pattern, feminine","binding, bundling (dated)",/dict/4180-agida/
7687,אוֹגֵד,א - ג - ד,"Noun – kotel pattern, masculine",copula (grammar),/dict/7687-oged/
8505,מוֹאֳגָד,א - ג - ד,Adjective – muktal pattern,incorporated,/dict/8505-moogad/
4173,לְאַגֵּד,א - ג - ד,Verb – pi'el,"to unite, to join together",/dict/4173-leaged/
4174,לְהֵיאָגֵד,א - ג - ד,Verb – nif'al,"to be bound together, united",/dict/4174-leheaged/
6806,תַּאֲגִיד,א - ג - ד,"Noun – taktil pattern, masculine",corporation,/dict/6806-taagid/
5376,אֱגוֹז,-,Noun – masculine,nut (food),/dict/5376-egoz/
5556,אֲגַם,א - ג - ם,"Noun – ktal pattern, masculine",lake,/dict/5556-agam/
8151,אַגָּן,-,Noun,"basin (geography); bowl, basin; pelvis",/dict/8151-agan/
7557,אַגָּס,-,Noun – masculine,pear; pear tree,/dict/7557-agas/
4740,אִיגּוּף,א - ג - ף,"Noun – kittul pattern, masculine","outflanking, flanking",/dict/4740-iguf/
3889,לֶאֱגוֹף,א - ג - ף,Verb – pa'al,to outflank,/dict/3889-leegof/
3891,אֲגַף,א - ג - ף,"Noun – ktal pattern, masculine","branch, department; flank",/dict/3891-agaf/
3890,לְאַגֵּף,א - ג - ף,Verb – pi'el,to outflank,/dict/3890-leagef/
4537,אִיגֶּרֶת,א - ג - ר,"Noun – kittelet pattern, feminine","note, message",/dict/4537-igeret/
6049,אֶגְרוֹן,א - ג - ר,"Noun – kitlon pattern, masculine","thesaurus, dictionary (dated)",/dict/6049-egron/
5356,מַאֲגָר,א - ג - ר,"Noun – miktal pattern, masculine","reserve, stockpile; reservoir",/dict/5356-maagar/
65,לֶאֱגוֹר,א - ג - ר,Verb – pa'al,"to stockpile, to store",/dict/65-leegor/
8251,לְהֵיאָגֵר,א - ג - ר,Verb – nif'al,"to be collected, to accumulate",/dict/8251-leheager/
8337,אַגְרָה,א - ג - ר,"Noun – katla pattern, feminine","fee, toll",/dict/8337-agra/
7452,אֲגַרְטָל,-,Noun – masculine,🏺 vase,/dict/7452-agartal/
66,לְהִתְאַגְרֵף,א - ג - ר - ף,Verb – hitpa'el,to box (to fight),/dict/66-lehitagref/
8665,אִגְרוּף,א - ג - ר - ף,"Noun – kittul pattern, masculine",boxing; making a fist,/dict/8665-igruf/
6470,אָדִיב,א - ד - ב,Adjective – katil pattern,"polite, courteous, obliging",/dict/6470-adiv/
8937,אַדְווָה,-,Noun – feminine,"ripple, wavelet",/dict/8937-adva/
6879,אָדוֹן,-,Noun – masculine,"mister, Mr.; master, lord",/dict/6879-adon/
2571,לְהִתְאַדּוֹת,א - ד - ה,Verb – hitpa'el,to evaporate; to disappear,/dict/2571-lehitadot/
5466,אֵד,א - ד - ה,Noun – masculine,"vapour, steam (usually in pl.)",/dict/5466-ed/
5470,אִידּוּי,א - ד - ה,"Noun – kittul pattern, masculine",vaporization; simmering,/dict/5470-iduy/
5469,הִתְאַדּוּת,א - ד - ה,"Noun – hitkattlut pattern, feminine",evaporation,/dict/5469-hitadut/
5467,לְאַדּוֹת,א - ד - ה,Verb – pi'el,"to vaporize, to evaporate; to simmer, to poach",/dict/5467-leadot/
4059,מַאֲדִים,א - ד - ם,"Noun – maktil pattern, masculine",Mars (the planet),/dict/4059-maadim/
6901,אוֹדֶם,א - ד - ם,"Noun – kotel pattern, masculine",ruby (gem),/dict/6901-odem/
3488,אֲדַמְדַּם,א - ד - ם,Adjective – ktaltal pattern,reddish,/dict/3488-adamdam/
3284,אַדֶּמֶת,א - ד - ם,"Noun – kattelet pattern, feminine","rubella, German measles",/dict/3284-ademet/
3553,אָדָם,א - ד - ם,"Noun – katal pattern, masculine","man, person, human being (also בֶּן אָדָם, plural: בְּנֵי אָדָם)",/dict/3553-adam/
3487,אָדוֹם,א - ד - ם,Adjective – katol pattern,red,/dict/3487-adom/
3552,אֲדָמָה,א - ד - ם,"Noun – ktala pattern, feminine","earth, soil, ground; land",/dict/3552-adama/
4567,לְהַאֲדִים,א - ד - ם,Verb – hif'il,"to become red, to redden, to blush",/dict/4567-lehaadim/
6902,אוֹדֶם,א - ד - ם,"Noun – kotel pattern, masculine","red, red colour; 💄 lipstick (coll.)",/dict/6902-odem/
7345,אֲדִיקוּת,א - ד - ק,Noun – feminine,"devotion, fervour, piety",/dict/7345-adikut/
7344,אָדוּק,א - ד - ק,Adjective – katul pattern,"devout, fervent, fanatical, religious",/dict/7344-aduk/
3313,נֶאְדָּר,א - ד - ר,Adjective – niktal pattern,"great, exalted, splendid, magnificient",/dict/3313-needar/
3314,אַדִּיר,א - ד - ר,Adjective – kattil pattern,"great, mighty, powerful",/dict/3314-adir/
6975,אַדְרִיכָל,-,Noun,architect,/dict/6975-adrichal/
6868,אָדִישׁ,א - ד - שׁ,Adjective – katil pattern,"apathetic, indifferent; inert (chemistry)",/dict/6868-adish/
67,לֶאֱהוֹב,א - ה - ב,Verb – pa'al,to love,/dict/67-leehov/
68,לְהִתְאַהֵב,א - ה - ב,Verb – hitpa'el,to fall in love (with) (ב-),/dict/68-lehitahev/
8346,הִתְאַהֲבוּת,א - ה - ב,"Noun – hitkattlut pattern, feminine","infatuation, falling in love, crush",/dict/8346-hitahavut/
3131,אַהֲבָה,א - ה - ב,"Noun – katla pattern, feminine",love,/dict/3131-ahava/
6045,אָהוּב,א - ה - ב,Adjective – katul pattern,"beloved, loved",/dict/6045-ahuv/
4595,מְאוֹהָב,א - ה - ב,Adjective – mekuttal pattern,in love with (ב־),/dict/4595-meohav/
5477,לְהֵיאָהֵב,א - ה - ב,Verb – nif'al,to be loved,/dict/5477-leheahev/
7554,אַהְבַּל,-,Noun,"fool, idiot (slang)",/dict/7554-ahbal/
3524,אוֹהֵד,א - ה - ד,"Noun – kotel pattern, masculine","fan (sports), supporter",/dict/3524-ohed/
69,לֶאֱהוֹד,א - ה - ד,Verb – pa'al,"to sympathise (את), to support a sports team",/dict/69-leehod/
5028,לֶאֱהוֹהַּ,א - ה - הּ,Verb – pa'al,"to wail, to howl (rare)",/dict/5028-leehoah/
5441,אוֹהֶל,א - ה - ל,"Noun – kotel pattern, masculine",tent,/dict/5441-ohel/
5231,אוֹ,-,Conjunction,or,/dict/5231-o/
7050,אוֹבְדָן,-,Noun,"loss, ruin",/dict/7050-ovdan/
7051,אוֹבְדָנִי,-,Adjective,suicidal,/dict/7051-ovdani/
7737,אוֹבְּסֶסִיבִי,-,Adjective,obsessive,/dict/7737-obsesivi/
6416,אוֹדוֹת,-,Preposition,"about, with regard to, concerning",/dict/6416-odot/
7626,אֲווָז,-,Noun – masculine,goose,/dict/7626-avaz/
5942,אֲווִיר,-,Noun – masculine,air,/dict/5942-avir/
8778,אֲווִירוֹן,-,Noun – masculine,"airplane, aircraft",/dict/8778-aviron/
4972,לְהָאִיט,א - ו - ט,Verb – hif'il,to slow down,/dict/4972-lehait/
6854,אוֹטוֹבּוּס,-,Noun – masculine,"🚌 bus, coach",/dict/6854-otobus/
5275,תַּאֲווָה,א - ו - ה,"Noun – taktela pattern, feminine","lust, desire, passion",/dict/5275-taava/
4052,לְאַוּוֹת,א - ו - ה,Verb – pi'el,"to desire, to want (archaic)",/dict/4052-leavot/
7989,אוֹי,-,Interjection,"oh, ah, oh my, ouch, alas",/dict/7989-oy/
5274,לְהִתְאַוּוֹת,א - ו - ה,Verb – hitpa'el,"to crave, to yearn for, to lust (lit.) (ל-)",/dict/5274-lehitavot/
6124,אוּכְלוּסִיָּה,-,Noun – feminine,population,/dict/6124-uchlusiya/
7276,אֱווִיל,א - ו - ל,Noun,"fool, stupid person (lit.)",/dict/7276-evil/
7805,אִיווֶּלֶת,א - ו - ל,"Noun – kittelet pattern, feminine","stupidity, foolishness",/dict/7805-ivelet/
4636,אוּלַי,-,Adverb,"maybe, perhaps",/dict/4636-ulay/
7488,אוּלָם,-,Adverb,"however, but, nevertheless",/dict/7488-ulam/
7489,אוּלָם,-,Noun – masculine,"hall, vestibule",/dict/7489-ulam/
6690,אוּלְפָּן,-,Noun – masculine,"studio (recording, TV, radio); ulpan, intensive Hebrew school",/dict/6690-ulpan/
7985,אוֹמָּנוּת לְחִימָה,-,Noun,martial art,/dict/7985-omanut-lechima/
8562,אוֹן,-,Noun – masculine,"power, strength, vitality (lit.)",/dict/8562-on/
4890,אוּנִיבֶרְסִיטָה,-,Noun – feminine,university,/dict/4890-universita/
5606,אוֹנִייָּה,-,Noun – feminine,"ship, boat, vessel",/dict/5606-oniya/
6371,אוֹפַנּוֹעַ,-,Noun – masculine,"🏍️ motorbike, motorcycle",/dict/6371-ofanoa/
70,לָאוּץ,א - ו - ץ,Verb – pa'al,"to make haste, to hurry",/dict/70-lautz/
71,לְהָאִיץ,א - ו - ץ,Verb – hif'il,"to urge, to speed up",/dict/71-lehaitz/
8561,תְּאוּצָה,א - ו - ץ,"Noun – tkula pattern, feminine",acceleration,/dict/8561-teutza/
8992,אָצָן,א - ו - ץ,Noun – masculine,sprinter (sports),/dict/8992-atzan/
7198,אוֹצַר מִילִּים,-,Noun,vocabulary,/dict/7198-otzar-milim/
7667,אוֹקְייָנוֹס,-,Noun,ocean,/dict/7667-okyanos/
72,לְהָאִיר,א - ו - ר,Verb – hif'il,"to illuminate, to shine",/dict/72-lehair/
5232,אוֹר,א - ו - ר,Noun – masculine,light,/dict/5232-or/
3736,תְּאוּרָה,א - ו - ר,"Noun – tkula pattern, feminine","lighting, illumination",/dict/3736-teura/
3886,מְאוּרָה,א - ו - ר,"Noun – mekula pattern, feminine","den, lair, hole",/dict/3886-meura/
4040,מָאוֹר,א - ו - ר,"Noun – miktal pattern, masculine","celestial body, star (biblical); lighting; brightness, glow",/dict/4040-maor/
8487,אוֹרְייָנ,-,Adverb,knowledge (aramaic) (rare),/dict/8487-oryan/
8488,אוֹרְייָנוּת,-,Noun,"literacy, language skills; erudition",/dict/8488-oryanut/
8489,אוֹרְייָנִי,-,Adjective,"literate, erudite, lettered",/dict/8489-oryani/
73,לְאַווְרֵר,א - ו - ר - ר,Verb – pi'el,"to ventilate, to aerate",/dict/73-leavrer/
74,לְהִתְאַווְרֵר,א - ו - ר - ר,Verb – hitpa'el,"to be ventilated, to take a fresh air",/dict/74-lehitavrer/
4741,אִיווְרוּר,א - ו - ר - ר,"Noun – kittul pattern, masculine","ventilation, airing",/dict/4741-ivrur/
6431,מְאַווְרֵר,א - ו - ר - ר,"Noun – mekattel pattern, masculine","ventilator, fan",/dict/6431-meavrer/
6111,לְאַווְשֵׁשׁ,א - ו - שׁ - שׁ,Verb – pi'el,"to rustle, to murmur (lit.)",/dict/6111-leavshesh/
6112,אִיווְשׁוּשׁ,א - ו - שׁ - שׁ,"Noun – kittul pattern, masculine","rustle, murmur (lit.)",/dict/6112-ivshush/
75,לְהֵיאוֹת,א - ו - ת,Verb – nif'al,"to agree, to consent, to be proper",/dict/75-leheot/
76,לְאוֹתֵת,א - ו - ת,Verb – pi'el,"to signal, to beacon",/dict/76-leotet/
5596,אוֹת,א - ו - ת,Noun – feminine,letter (of an alphabet),/dict/5596-ot/
5595,אוֹת,א - ו - ת,Noun – masculine,"signal, sign; badge, medal; omen, indication",/dict/5595-ot/
5316,אָז,-,Conjunction,then; in that case; so,/dict/5316-az/
5731,לְאַזְכֵּר,א - ז - כ - ר,Verb – pi'el,"to mention, to cite, to make reference to",/dict/5731-leazker/
7262,אִיזְכּוּר,א - ז - כ - ר,"Noun – kittul pattern, masculine","reference, mention, quotation, citation",/dict/7262-izkur/
77,לֶאֱזוֹל,א - ז - ל,Verb – pa'al,"to run out, to cease, to be exhausted",/dict/77-leezol/
6621,אִזְמֵל,-,Noun – masculine,chisel; scalpel,/dict/6621-izmel/
78,לְהַאֲזִין,א - ז - ן,Verb – hif'il,"to listen (music, radio), to heed",/dict/78-lehaazin/
80,לְהִתְאַזֵּן,א - ז - ן,Verb – hitpa'el,"to balance, to be balanced",/dict/80-lehitazen/
4684,אִיזּוּן,א - ז - ן,"Noun – kittul pattern, masculine","balance, equilibrium",/dict/4684-izun/
3203,אוֹזֶן,א - ז - ן,"Noun – kotel pattern, feminine",ear (anatomy),/dict/3203-ozen/
3729,הַאֲזָנָה,א - ז - ן,"Noun – haktala pattern, feminine",listening,/dict/3729-haazana/
79,לְאַזֵּן,א - ז - ן,Verb – pi'el,"to balance, to offset",/dict/79-leazen/
8851,אוֹזְנִית,א - ז - ן,Noun – feminine,"earphone, headphone, earbud",/dict/8851-oznit/
5522,לֶאֱזוֹק,א - ז - ק,Verb – pa'al,"to handcuff, to bind with handcuffs (את)",/dict/5522-leezok/
6658,אֲזִיקִּים,א - ז - ק,Noun – masculine,handcuffs,/dict/6658-azikim/
6978,אָזִיק,א - ז - ק,"Noun – katil pattern, masculine",handcuff (אזיקים: handcuffs),/dict/6978-azik/
6979,אֲזִיקוֹן,א - ז - ק,Noun – masculine,restraint (plastic or nylon); cable tie,/dict/6979-azikon/
82,לְהִתְאַזֵּר,א - ז - ר,Verb – hitpa'el,"to gird oneself, to girdle",/dict/82-lehitazer/
4667,אֵזוֹר,א - ז - ר,Noun,"zone, region, area",/dict/4667-ezor/
81,לֶאֱזוֹר,א - ז - ר,Verb – pa'al,"to gird, to put on (a belt)",/dict/81-leezor/
8578,אֱזוֹרִי,א - ז - ר,Adjective,regional,/dict/8578-ezori/
8619,לְהִתְאַזְרֵחַ,א - ז - ר - ח,Verb – hitpa'el,"to become a citizen, to naturalise",/dict/8619-lehitazreach/
8812,אֶזְרָח,-,Noun,citizen; civilian,/dict/8812-ezrach/
8813,אֶזְרָחִי,-,Adjective,"civilian, civil (law)",/dict/8813-ezrachi/
4113,אָח,-,Noun – masculine,brother,/dict/4113-ach/
7076,אָח,-,Noun – feminine,"fireplace, hearth",/dict/7076-ach/
84,לְהִתְאַחֵד,א - ח - ד,Verb – hitpa'el,"to be united, to unite (with)",/dict/84-lehitached/
4191,הִתְאַחֲדוּת,א - ח - ד,"Noun – hitkattlut pattern, feminine","association, federation; unification",/dict/4191-hitachadut/
3642,אַחְדוּת,א - ח - ד,"Noun – katlut pattern, feminine","unity, unification",/dict/3642-achdut/
4190,אִיחוּד,א - ח - ד,"Noun – kittul pattern, masculine","unity, unification",/dict/4190-ichud/
4192,אָחִיד,א - ח - ד,Adjective – katil pattern,"homogeneous, uniform; standard, constant",/dict/4192-achid/
4193,לְהַאֲחִיד,א - ח - ד,Verb – hif'il,"to unify, to coalesce",/dict/4193-lehaachid/
4194,מְאוּחָד,א - ח - ד,Adjective – mekuttal pattern,united,/dict/4194-meuchad/
4195,הַאֲחָדָה,א - ח - ד,"Noun – haktala pattern, feminine","unification, coalescence",/dict/4195-haachada/
83,לְאַחֵד,א - ח - ד,Verb – pi'el,to unite,/dict/83-leached/
7130,אֶחָד,א - ח - ד,Cardinal numeral,one,/dict/7130-echad/
7851,אַחֲווָה,א - ח - ו,"Noun – katla pattern, feminine","fraternity, comradeship, brotherhood, sisterhood",/dict/7851-achava/
8759,אָחוּ,א - ח - ו,"Noun – ketel pattern, masculine","meadow, pasture, grazing land",/dict/8759-achu/
4120,אָחוֹת,-,Noun – feminine,sister,/dict/4120-achot/
85,לֶאֱחוֹז,א - ח - ז,Verb – pa'al,"to grip, to grasp, to hold (ב-)",/dict/85-leechoz/
86,לְהֵיאָחֵז,א - ח - ז,Verb – nif'al,to hold on (ב-),/dict/86-leheachez/
7930,אֲחוּזָּה,א - ח - ז,"Noun – ktulla pattern, feminine","estate; property, holdings",/dict/7930-achuza/
8136,אֲחִיזָה,א - ח - ז,"Noun – ktila pattern, feminine","grasp, grip, hold, control; basis, support",/dict/8136-achiza/
6158,אָחוּז,א - ח - ז,"Noun – katul pattern, masculine","percent, per cent",/dict/6158-achuz/
8580,לְאַחְזֵר,א - ח - ז - ר,Verb – pi'el,to retrieve (computing),/dict/8580-leachzer/
5030,לְהִתְאַחוֹת,א - ח - ה,Verb – hitpa'el,"to heal (fractured bones, damaged tissues); to be joined together",/dict/5030-lehitachot/
5029,לְאַחוֹת,א - ח - ה,Verb – pi'el,to stitch together; to unite (rare),/dict/5029-leachot/
5435,אַחְייָן,-,Noun – masculine,nephew,/dict/5435-achyan/
5436,אַחְייָנִית,-,Noun – feminine,niece,/dict/5436-achyanit/
7600,אִיחוּל,א - ח - ל,"Noun – kittul pattern, masculine","wish, greeting",/dict/7600-ichul/
87,לְאַחֵל,א - ח - ל,Verb – pi'el,"to wish, to congratulate",/dict/87-leachel/
3381,אִיחְסוּן,א - ח - ס - ן,"Noun – kittul pattern, masculine",storage,/dict/3381-ichsun/
2615,לְאַחְסֵן,א - ח - ס - ן,Verb – pi'el,to store,/dict/2615-leachsen/
7983,אַחְרָיוּת,א - ח - ר,Noun – feminine,"responsibility; warranty, guarantee",/dict/7983-achrayut/
7105,אִיחוּר,א - ח - ר,"Noun – kittul pattern, masculine","delay, tardiness, lateness, being late",/dict/7105-ichur/
4377,אָחוֹר,א - ח - ר,"Noun – katol pattern, masculine","back, rear part (lit.)",/dict/4377-achor/
4276,אַחַר,א - ח - ר,Preposition,after,/dict/4276-achar/
4714,אָחוֹרָה,א - ח - ר,Adverb,backwards,/dict/4714-achora/
4378,אֲחוֹרַייִם,א - ח - ר,"Noun – katol pattern, masculine","buttocks, backside",/dict/4378-achorayim/
4376,מֵאֲחוֹרֵי,א - ח - ר,Preposition – katal pattern,behind,/dict/4376-meachorei/
4630,אַחֵר,א - ח - ר,Adjective,"other, another, different",/dict/4630-acher/
4631,אַחֲרוֹן,א - ח - ר,Adjective,last,/dict/4631-acharon/
7662,מְאוּחָר,א - ח - ר,Adjective – mekuttal pattern,"late, later",/dict/7662-meuchar/
7982,אַחְרַאי,א - ח - ר,Noun,responsible person,/dict/7982-achray/
8492,אֲחוֹרִי,א - ח - ר,Adjective,"posterior, rear",/dict/8492-achori/
88,לְאַחֵר,א - ח - ר,Verb – pi'el,to be late,/dict/88-leacher/
20,לְהִתְאַחֵר,א - ח - ר,Verb – hitpa'el,"to be late, to get late",/dict/20-lehitacher/
7109,אַחְרָאִי,א - ח - ר,Adjective,responsible,/dict/7109-achrai/
7692,אֶטֶב,א - ט - ב,"Noun – ketel pattern, masculine","clothes peg, clothespin, clip",/dict/7692-etev/
5235,אִיטִּי,א - ט - ט,Adjective,slow; prolonged,/dict/5235-iti/
5234,אַט,א - ט - ט,Adverb,slowly (lit.),/dict/5234-at/
89,לְהָאֵט,א - ט - ט,Verb – hif'il,"to slow down, to retard",/dict/89-lehaet/
7994,אִטְלִיז,-,Noun – masculine,"butchery, butcher shop",/dict/7994-itliz/
90,לֶאֱטוֹם,א - ט - ם,Verb – pa'al,"to seal, to close",/dict/90-leetom/
7496,אֲטִימוּת,א - ט - ם,Noun – feminine,"impermeability; opacity, opaqueness; inflexibility, unreceptiveness",/dict/7496-atimut/
6609,אִיטּוּם,א - ט - ם,"Noun – kittul pattern, masculine","sealing, waterproofing",/dict/6609-itum/
7495,אָטוּם,א - ט - ם,Adjective – katul pattern,"sealed; opaque; blocked, clogged (coll.)",/dict/7495-atum/
91,לְהֵיאָטֵם,א - ט - ם,Verb – nif'al,"to be sealed, closed up",/dict/91-leheatem/
6297,אִטְרִיָּה,-,Noun – feminine,"noodle; (in plural) noodles, macaroni, vermicelli 🍝",/dict/6297-itriya/
4331,אִי,-,Noun – masculine,island,/dict/4331-i/
5002,אוֹיֵב,א - י - ב,"Noun – kotel pattern, masculine",enemy,/dict/5002-oyev/
5003,אֵיבָה,א - י - ב,Noun,"hatred, loathing",/dict/5003-eiva/
8478,אֵיבָר,-,Noun – masculine,"limb, organ; member, part",/dict/8478-eivar/
6192,אֵיבָר,-,Noun – masculine,"organ; member, element",/dict/6192-eivar/
5777,לְאַייֵּד,א - י - ד,Verb – pi'el,"to vaporize, to evaporate",/dict/5777-leayed/
5894,אַיָּה,-,Noun – feminine,"buzzard, Pernis (bird)",/dict/5894-aya/
7872,אַיֵּה,-,Adverb,where? (lit.),/dict/7872-aye/
6874,אֵיזֶה,-,Pronoun,"which? (masculine singular); some, certain",/dict/6874-eize/
5715,אֵיזוֹ,-,Pronoun,"which? (feminine singular); some, certain",/dict/5715-eizo/
6858,אַייָּל,-,Noun – masculine,🦌 deer,/dict/6858-ayal/
4588,אֵיךְ,-,Adverb – katul pattern,how,/dict/4588-eich/
7537,אִיכָּא,-,Particle,"there is, there exists (Aramaic, in expressions)",/dict/7537-ika/
4590,אֵיכוּת,-,Noun – feminine,quality,/dict/4590-eichut/
8044,אִיכְס,-,Interjection,"ugh!, yuck! (expression of disgust)",/dict/8044-ichs/
8550,אֵיכְשֶׁהוּ,-,Adverb,somehow,/dict/8550-eichshehu/
6857,אַיִל,א - י - ל,"Noun – ketel pattern, masculine","🐏 ram (male sheep); mogul, tycoon",/dict/6857-ayil/
6859,אֱייָל,א - י - ל,Noun,"power, strength, valour (lit.)",/dict/6859-eyal/
5247,אִילּוּ,-,Adverb,"if, if only",/dict/5247-ilu/
6875,אֵילוּ,-,Pronoun,"which? (plural); some, certain",/dict/6875-eilu/
7691,אִילָן,-,Noun – masculine,🌳 tree (lit.),/dict/7691-ilan/
2664,אֵים,-,Noun – feminine,mother,/dict/2664-em/
2950,אִיּוּם,א - י - ם,"Noun – kittul pattern, masculine","threat, menace",/dict/2950-iyum/
92,לְאַייֵּם,א - י - ם,Verb – pi'el,"to threaten, to menace (על)",/dict/92-leayem/
5966,אֵימָה,א - י - ם,Noun – feminine,"terror, fear",/dict/5966-eima/
5981,אָיוֹם,א - י - ם,Adjective – katol pattern,"threatening, menacing; terrible, horrible",/dict/5981-ayom/
6052,אֵין,-,–,there is not; is not,/dict/6052-ein/
5284,לְאַייֵּן,א - י - ן,Verb – pi'el,"to liquidate, to exterminate",/dict/5284-leayen/
